"Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector","Union Membership, Coverage, Density and Employment by State and Sector"
2005,Colorado,84,Public,620,"331,803","79,021","91,613",23.80%,27.60%
2005,Colorado,84,Total,3803,"2,052,170","169,972","192,672",8.30%,9.40%
2006,Colorado,84,Priv. Construction,287,"161,201","9,684","10,670",6.00%,6.60%
2006,Colorado,84,Priv. Manufacturing,359,"201,353","17,684","17,684",8.80%,8.80%
2006,Colorado,84,Private,3294,"1,836,606","92,589","103,537",5.00%,5.60%
2006,Colorado,84,Public,579,"317,287","72,368","82,564",22.80%,26.00%
2006,Colorado,84,Total,3873,"2,153,893","164,957","186,101",7.70%,8.60%
2007,Colorado,84,Priv. Construction,300,"170,223","14,379","14,900",8.40%,8.80%
2007,Colorado,84,Priv. Manufacturing,366,"206,697","31,281","32,478",15.10%,15.70%
2007,Colorado,84,Private,3282,"1,848,721","104,082","109,701",5.60%,5.90%
2007,Colorado,84,Public,646,"355,258","86,678","92,588",24.40%,26.10%
2007,Colorado,84,Total,3928,"2,203,979","190,759","202,289",8.70%,9.20%
2008,Colorado,84,Priv. Construction,271,"166,231","15,995","15,995",9.60%,9.60%
2008,Colorado,84,Priv. Manufacturing,328,"189,986","20,268","23,610",10.70%,12.40%
2008,Colorado,84,Private,3214,"1,905,056","104,237","116,037",5.50%,6.10%
2008,Colorado,84,Public,604,"348,707","76,882","92,096",22.00%,26.40%
2008,Colorado,84,Total,3818,"2,253,763","181,119","208,133",8.00%,9.20%
2009,Colorado,84,Priv. Construction,211,"125,145","7,457","8,032",6.00%,6.40%
2009,Colorado,84,Priv. Manufacturing,314,"179,135","13,186","14,832",7.40%,8.30%
2009,Colorado,84,Private,3197,"1,843,410","83,789","96,768",4.50%,5.20%
2009,Colorado,84,Public,591,"332,074","69,435","83,883",20.90%,25.30%
2009,Colorado,84,Total,3788,"2,175,485","153,224","180,651",7.00%,8.30%
2010,Colorado,84,Priv. Construction,200,"119,190","6,388","7,661",5.40%,6.40%
2010,Colorado,84,Priv. Manufacturing,299,"174,007","8,904","10,598",5.10%,6.10%
2010,Colorado,84,Private,3111,"1,804,693","69,393","87,117",3.80%,4.80%
2010,Colorado,84,Public,573,"325,700","70,985","83,818",21.80%,25.70%
2010,Colorado,84,Total,3684,"2,130,393","140,378","170,935",6.60%,8.00%
2011,Colorado,84,Priv. Construction,196,"122,383","9,141","9,771",7.50%,8.00%
2011,Colorado,84,Priv. Manufacturing,325,"193,774","15,934","15,934",8.20%,8.20%
2011,Colorado,84,Private,3113,"1,846,398","89,912","101,813",4.90%,5.50%
2011,Colorado,84,Public,583,"338,754","89,569","100,951",26.40%,29.80%
2011,Colorado,84,Total,3696,"2,185,152","179,481","202,764",8.20%,9.30%
2012,Colorado,84,Priv. Construction,194,"114,604","10,129","10,637",8.80%,9.30%
2012,Colorado,84,Priv. Manufacturing,325,"188,369","12,518","12,518",6.60%,6.60%
2012,Colorado,84,Private,3145,"1,832,481","89,806","98,182",4.90%,5.40%
2012,Colorado,84,Public,586,"333,409","79,516","92,009",23.80%,27.60%
2012,Colorado,84,Total,3731,"2,165,891","169,323","190,191",7.80%,8.80%
2013,Colorado,84,Priv. Construction,209,"124,098","10,053","11,213",8.10%,9.00%
2013,Colorado,84,Priv. Manufacturing,331,"187,774","11,554","14,921",6.20%,7.90%
2013,Colorado,84,Private,3278,"1,897,493","95,488","109,668",5.00%,5.80%
2013,Colorado,84,Public,607,"344,448","74,189","96,620",21.50%,28.10%
2013,Colorado,84,Total,3885,"2,241,941","169,677","206,288",7.60%,9.20%
2014,Colorado,84,Priv. Construction,228,"158,255","12,530","13,066",7.90%,8.30%
2014,Colorado,84,Priv. Manufacturing,259,"170,334","20,411","21,558",12.00%,12.70%
2014,Colorado,84,Private,2970,"1,945,103","144,663","155,317",7.40%,8.00%
2014,Colorado,84,Public,576,"383,583","76,149","94,378",19.90%,24.60%
2014,Colorado,84,Total,3546,"2,328,686","220,812","249,696",9.50%,10.70%
2015,Colorado,84,Priv. Construction,168,"165,983","14,239","16,111",8.60%,9.70%
2015,Colorado,84,Priv. Manufacturing,170,"160,425","11,608","12,762",7.20%,8.00%
2015,Colorado,84,Private,1992,"1,897,487","123,631","132,652",6.50%,7.00%
2015,Colorado,84,Public,440,"416,815","71,028","82,795",17.00%,19.90%
2015,Colorado,84,Total,2432,"2,314,303","194,659","215,447",8.40%,9.30%
2016,Colorado,84,Priv. Construction,140,"168,308","20,310","21,885",12.10%,13.00%
2016,Colorado,84,Priv. Manufacturing,130,"154,297","18,733","18,733",12.10%,12.10%
2016,Colorado,84,Private,1762,"2,081,346","143,627","158,053",6.90%,7.60%
2016,Colorado,84,Public,311,"358,592","94,620","105,164",26.40%,29.30%
2016,Colorado,84,Total,2073,"2,439,938","238,247","263,217",9.80%,10.80%
2017,Colorado,84,Priv. Construction,131,"165,092","17,568","17,568",10.60%,10.60%
2017,Colorado,84,Priv. Manufacturing,134,"159,032","18,138","20,268",11.40%,12.70%
2017,Colorado,84,Private,1740,"2,078,723","146,737","163,697",7.10%,7.90%
2017,Colorado,84,Public,373,"422,229","91,603","109,400",21.70%,25.90%
2017,Colorado,84,Total,2113,"2,500,952","238,340","273,097",9.50%,10.90%
2018,Colorado,84,Priv. Construction,183,"224,045","17,781","21,517",7.90%,9.60%
2018,Colorado,84,Priv. Manufacturing,149,"186,532","8,002","8,002",4.30%,4.30%
2018,Colorado,84,Private,1756,"2,126,947","173,339","192,725",8.10%,9.10%
2018,Colorado,84,Public,369,"435,397","107,760","114,208",24.70%,26.20%
2018,Colorado,84,Total,2125,"2,562,343","281,098","306,933",11.00%,12.00%
2019,Colorado,84,Priv. Construction,169,"222,304","16,785","19,364",7.60%,8.70%
2019,Colorado,84,Priv. Manufacturing,147,"183,592","4,804","4,804",2.60%,2.60%
2019,Colorado,84,Private,1676,"2,192,263","131,654","139,080",6.00%,6.30%
2019,Colorado,84,Public,338,"441,824","106,849","121,060",24.20%,27.40%
2019,Colorado,84,Total,2014,"2,634,088","238,503","260,141",9.10%,9.90%
2020,Colorado,84,Priv. Construction,140,"204,671","10,080","10,080",4.90%,4.90%
2020,Colorado,84,Priv. Manufacturing,133,"187,026","6,626","6,626",3.50%,3.50%
2020,Colorado,84,Private,1465,"2,065,264","103,622","110,193",5.00%,5.30%
2020,Colorado,84,Public,301,"406,332","79,024","91,967",19.40%,22.60%
2020,Colorado,84,Total,1766,"2,471,597","182,645","202,160",7.40%,8.20%
2021,Colorado,84,Priv. Construction,130,"180,031","9,778","13,906",5.40%,7.70%
2021,Colorado,84,Priv. Manufacturing,105,"144,244","3,858","8,305",2.70%,5.80%
2021,Colorado,84,Private,1521,"2,100,795","85,728","101,597",4.10%,4.80%
2021,Colorado,84,Public,320,"433,939","78,926","89,196",18.20%,20.60%
2021,Colorado,84,Total,1841,"2,534,734","164,654","190,793",6.50%,7.50%
2022,Colorado,84,Priv. Construction,129,"186,886","4,122","5,417",2.20%,2.90%
2022,Colorado,84,Priv. Manufacturing,106,"155,041","4,426","6,124",2.90%,4.00%
2022,Colorado,84,Private,1569,"2,206,594","95,099","106,444",4.30%,4.80%
2022,Colorado,84,Public,325,"460,261","83,293","94,308",18.10%,20.50%
2022,Colorado,84,Total,1894,"2,666,854","178,393","200,751",6.70%,7.50%
1983,Connecticut,16,Priv. Construction,94,"56,179","20,863","21,403",37.10%,38.10%
1983,Connecticut,16,Priv. Manufacturing,663,"392,436","110,157","122,050",28.10%,31.10%
1983,Connecticut,16,Private,1984,"1,200,528","199,956","223,172",16.70%,18.60%
1983,Connecticut,16,Public,308,"181,396","114,058","121,943",62.90%,67.20%
1983,Connecticut,16,Total,2292,"1,381,924","314,014","345,115",22.70%,25.00%
1984,Connecticut,16,Priv. Construction,91,"56,093","16,098","16,098",28.70%,28.70%
1984,Connecticut,16,Priv. Manufacturing,683,"416,937","78,336","90,255",18.80%,21.60%
1984,Connecticut,16,Private,2048,"1,255,043","170,423","193,085",13.60%,15.40%
1984,Connecticut,16,Public,319,"188,640","123,344","127,216",65.40%,67.40%
1984,Connecticut,16,Total,2367,"1,443,684","293,766","320,301",20.30%,22.20%
1985,Connecticut,16,Priv. Construction,93,"55,012","10,164","10,164",18.50%,18.50%
1985,Connecticut,16,Priv. Manufacturing,720,"434,587","88,526","96,096",20.40%,22.10%
1985,Connecticut,16,Private,2137,"1,286,515","185,587","200,840",14.40%,15.60%
1985,Connecticut,16,Public,303,"182,118","120,876","125,059",66.40%,68.70%
1985,Connecticut,16,Total,2440,"1,468,633","306,463","325,899",20.90%,22.20%
1986,Connecticut,16,Priv. Construction,110,"70,079","17,590","18,240",25.10%,26.00%
1986,Connecticut,16,Priv. Manufacturing,667,"429,858","76,901","86,345",17.90%,20.10%
1986,Connecticut,16,Private,2075,"1,320,507","175,918","189,117",13.30%,14.30%
1986,Connecticut,16,Public,281,"180,833","112,563","121,774",62.20%,67.30%
1986,Connecticut,16,Total,2356,"1,501,340","288,481","310,891",19.20%,20.70%
1987,Connecticut,16,Priv. Construction,83,"61,021","19,173","19,899",31.40%,32.60%
1987,Connecticut,16,Priv. Manufacturing,582,"416,334","78,203","85,241",18.80%,20.50%
1987,Connecticut,16,Private,1856,"1,338,728","166,769","185,867",12.50%,13.90%
1987,Connecticut,16,Public,253,"182,152","114,965","118,997",63.10%,65.30%
1987,Connecticut,16,Total,2109,"1,520,880","281,734","304,864",18.50%,20.00%
1988,Connecticut,16,Priv. Construction,114,"90,432","22,265","22,265",24.60%,24.60%
1988,Connecticut,16,Priv. Manufacturing,499,"391,776","73,993","78,605",18.90%,20.10%
1988,Connecticut,16,Private,1684,"1,348,649","175,722","186,591",13.00%,13.80%
1988,Connecticut,16,Public,245,"195,018","123,777","129,971",63.50%,66.60%
1988,Connecticut,16,Total,1929,"1,543,668","299,499","316,561",19.40%,20.50%
1989,Connecticut,16,Priv. Construction,108,"84,492","19,675","20,969",23.30%,24.80%
1989,Connecticut,16,Priv. Manufacturing,467,"371,424","66,185","67,977",17.80%,18.30%
1989,Connecticut,16,Private,1664,"1,341,789","162,928","172,831",12.10%,12.90%
1989,Connecticut,16,Public,240,"191,248","121,104","124,219",63.30%,65.00%
1989,Connecticut,16,Total,1904,"1,533,038","284,032","297,050",18.50%,19.40%
1990,Connecticut,16,Priv. Construction,87,"70,323","11,221","14,393",16.00%,20.50%
1990,Connecticut,16,Priv. Manufacturing,486,"379,037","66,767","71,715",17.60%,18.90%
1990,Connecticut,16,Private,1738,"1,374,607","159,468","180,542",11.60%,13.10%
1990,Connecticut,16,Public,250,"198,378","117,710","128,696",59.30%,64.90%
1990,Connecticut,16,Total,1988,"1,572,984","277,178","309,238",17.60%,19.70%
1991,Connecticut,16,Priv. Construction,70,"56,896","12,567","12,567",22.10%,22.10%
1991,Connecticut,16,Priv. Manufacturing,463,"370,465","62,075","69,796",16.80%,18.80%
1991,Connecticut,16,Private,1648,"1,343,759","151,411","163,733",11.30%,12.20%
1991,Connecticut,16,Public,254,"204,603","140,650","146,482",68.70%,71.60%
1991,Connecticut,16,Total,1902,"1,548,363","292,061","310,215",18.90%,20.00%
1992,Connecticut,16,Priv. Construction,64,"51,708","13,497","14,210",26.10%,27.50%
1992,Connecticut,16,Priv. Manufacturing,430,"347,047","66,401","67,246",19.10%,19.40%
1992,Connecticut,16,Private,1620,"1,325,385","155,040","167,822",11.70%,12.70%
1992,Connecticut,16,Public,217,"174,651","111,980","116,706",64.10%,66.80%
1992,Connecticut,16,Total,1837,"1,500,035","267,021","284,528",17.80%,19.00%
1993,Connecticut,16,Priv. Construction,63,"48,108","18,369","18,369",38.20%,38.20%
1993,Connecticut,16,Priv. Manufacturing,428,"340,604","57,467","60,220",16.90%,17.70%
1993,Connecticut,16,Private,1598,"1,303,361","158,381","173,929",12.20%,13.30%
1993,Connecticut,16,Public,240,"197,125","122,449","125,791",62.10%,63.80%
1993,Connecticut,16,Total,1838,"1,500,486","280,830","299,719",18.70%,20.00%
1994,Connecticut,16,Priv. Construction,61,"49,885","13,381","13,381",26.80%,26.80%
1994,Connecticut,16,Priv. Manufacturing,340,"287,362","40,245","41,513",14.00%,14.40%
1994,Connecticut,16,Private,1449,"1,233,743","147,255","151,387",11.90%,12.30%
1994,Connecticut,16,Public,253,"217,095","142,886","146,699",65.80%,67.60%
1994,Connecticut,16,Total,1702,"1,450,839","290,141","298,086",20.00%,20.50%
1995,Connecticut,16,Priv. Construction,44,"39,283","11,595","12,562",29.50%,32.00%
1995,Connecticut,16,Priv. Manufacturing,310,"276,879","39,822","43,038",14.40%,15.50%
1995,Connecticut,16,Private,1367,"1,228,562","142,583","148,009",11.60%,12.00%
1995,Connecticut,16,Public,224,"198,842","145,365","147,567",73.10%,74.20%
1995,Connecticut,16,Total,1591,"1,427,404","287,948","295,576",20.20%,20.70%
1996,Connecticut,16,Priv. Construction,65,"59,240","15,254","15,254",25.70%,25.70%
1996,Connecticut,16,Priv. Manufacturing,304,"273,609","29,016","29,921",10.60%,10.90%
1996,Connecticut,16,Private,1400,"1,270,470","119,376","126,702",9.40%,10.00%
1996,Connecticut,16,Public,207,"183,520","120,108","123,782",65.40%,67.40%
1996,Connecticut,16,Total,1607,"1,453,990","239,485","250,484",16.50%,17.20%
1997,Connecticut,16,Priv. Construction,65,"58,323","14,278","15,130",24.50%,25.90%
1997,Connecticut,16,Priv. Manufacturing,334,"287,310","40,839","42,514",14.20%,14.80%
1997,Connecticut,16,Private,1496,"1,298,085","142,570","153,198",11.00%,11.80%
1997,Connecticut,16,Public,198,"170,917","105,237","109,072",61.60%,63.80%
1997,Connecticut,16,Total,1694,"1,469,003","247,808","262,270",16.90%,17.90%
1998,Connecticut,16,Priv. Construction,73,"65,759","12,979","12,979",19.70%,19.70%
1998,Connecticut,16,Priv. Manufacturing,358,"309,814","51,199","52,765",16.50%,17.00%
1998,Connecticut,16,Private,1519,"1,316,776","143,227","148,584",10.90%,11.30%
1998,Connecticut,16,Public,218,"184,614","119,411","123,337",64.70%,66.80%
1998,Connecticut,16,Total,1737,"1,501,390","262,638","271,922",17.50%,18.10%
1999,Connecticut,16,Priv. Construction,63,"57,023","9,236","10,100",16.20%,17.70%
1999,Connecticut,16,Priv. Manufacturing,336,"290,014","43,822","44,703",15.10%,15.40%
1999,Connecticut,16,Private,1436,"1,239,026","123,520","131,889",10.00%,10.60%
1999,Connecticut,16,Public,255,"215,610","140,857","147,033",65.30%,68.20%
1999,Connecticut,16,Total,1691,"1,454,636","264,377","278,921",18.20%,19.20%
2000,Connecticut,16,Priv. Construction,66,"58,180","12,930","12,930",22.20%,22.20%
2000,Connecticut,16,Priv. Manufacturing,334,"287,106","44,194","45,952",15.40%,16.00%
2000,Connecticut,16,Private,1521,"1,312,980","123,988","134,347",9.40%,10.20%
2000,Connecticut,16,Public,235,"195,275","121,809","128,111",62.40%,65.60%
2000,Connecticut,16,Total,1756,"1,508,255","245,797","262,459",16.30%,17.40%
2001,Connecticut,16,Priv. Construction,96,"59,099","14,283","14,283",24.20%,24.20%
2001,Connecticut,16,Priv. Manufacturing,398,"243,672","29,857","30,655",12.30%,12.60%
2001,Connecticut,16,Private,2078,"1,277,172","108,975","116,147",8.50%,9.10%
2001,Connecticut,16,Public,342,"208,576","114,956","117,932",55.10%,56.50%
2001,Connecticut,16,Total,2420,"1,485,748","223,931","234,079",15.10%,15.80%
2002,Connecticut,16,Priv. Construction,135,"61,013","11,862","12,917",19.40%,21.20%
2002,Connecticut,16,Priv. Manufacturing,546,"241,499","27,965","28,939",11.60%,12.00%
2002,Connecticut,16,Private,2841,"1,271,282","124,290","132,670",9.80%,10.40%
2002,Connecticut,16,Public,450,"194,512","123,566","127,513",63.50%,65.60%
2002,Connecticut,16,Total,3291,"1,465,793","247,857","260,183",16.90%,17.80%
2003,Connecticut,16,Priv. Construction,151,"70,913","15,789","16,738",22.30%,23.60%
2003,Connecticut,16,Priv. Manufacturing,479,"221,252","22,804","23,353",10.30%,10.60%
2003,Connecticut,16,Private,2803,"1,284,091","106,707","112,775",8.30%,8.80%
2003,Connecticut,16,Public,453,"204,593","122,033","131,220",59.60%,64.10%
2003,Connecticut,16,Total,3256,"1,488,685","228,740","243,995",15.40%,16.40%
2004,Connecticut,16,Priv. Construction,149,"66,529","13,245","14,082",19.90%,21.20%
2004,Connecticut,16,Priv. Manufacturing,537,"226,175","22,579","24,723",10.00%,10.90%
2004,Connecticut,16,Private,3061,"1,313,196","96,137","110,546",7.30%,8.40%
2004,Connecticut,16,Public,536,"225,501","138,569","145,280",61.40%,64.40%
2004,Connecticut,16,Total,3597,"1,538,697","234,706","255,826",15.30%,16.60%
2005,Connecticut,16,Priv. Construction,182,"72,262","12,087","12,087",16.70%,16.70%
2005,Connecticut,16,Priv. Manufacturing,558,"214,440","23,532","24,852",11.00%,11.60%
2005,Connecticut,16,Private,3363,"1,319,211","100,431","109,094",7.60%,8.30%
2005,Connecticut,16,Public,591,"230,305","146,254","153,686",63.50%,66.70%
2005,Connecticut,16,Total,3954,"1,549,515","246,685","262,781",15.90%,17.00%
2006,Connecticut,16,Priv. Construction,210,"82,561","13,807","15,074",16.70%,18.30%
2006,Connecticut,16,Priv. Manufacturing,532,"203,827","23,784","25,262",11.70%,12.40%
2006,Connecticut,16,Private,3478,"1,355,656","108,696","119,181",8.00%,8.80%
2006,Connecticut,16,Public,600,"235,065","138,797","143,600",59.00%,61.10%
2006,Connecticut,16,Total,4078,"1,590,721","247,492","262,781",15.60%,16.50%
2007,Connecticut,16,Priv. Construction,173,"70,766","12,651","12,651",17.90%,17.90%
2007,Connecticut,16,Priv. Manufacturing,541,"214,005","21,849","22,544",10.20%,10.50%
2007,Connecticut,16,Private,3435,"1,378,855","104,615","112,764",7.60%,8.20%
2007,Connecticut,16,Public,592,"238,502","148,438","155,993",62.20%,65.40%
2007,Connecticut,16,Total,4027,"1,617,358","253,053","268,756",15.60%,16.60%
2008,Connecticut,16,Priv. Construction,197,"78,993","16,873","16,873",21.40%,21.40%
2008,Connecticut,16,Priv. Manufacturing,543,"215,529","17,255","19,655",8.00%,9.10%
2008,Connecticut,16,Private,3447,"1,368,506","113,778","125,278",8.30%,9.20%
2008,Connecticut,16,Public,654,"256,204","161,443","165,663",63.00%,64.70%
2008,Connecticut,16,Total,4101,"1,624,709","275,221","290,941",16.90%,17.90%
2009,Connecticut,16,Priv. Construction,185,"70,953","12,088","12,473",17.00%,17.60%
2009,Connecticut,16,Priv. Manufacturing,473,"177,270","18,066","19,476",10.20%,11.00%
2009,Connecticut,16,Private,3421,"1,297,024","110,721","122,561",8.50%,9.40%
2009,Connecticut,16,Public,647,"241,072","154,733","159,801",64.20%,66.30%
2009,Connecticut,16,Total,4068,"1,538,095","265,453","282,362",17.30%,18.40%
2010,Connecticut,16,Priv. Construction,151,"57,409","9,952","9,952",17.30%,17.30%
2010,Connecticut,16,Priv. Manufacturing,488,"184,915","20,877","21,277",11.30%,11.50%
2010,Connecticut,16,Private,3456,"1,318,304","109,851","116,608",8.30%,8.80%
2010,Connecticut,16,Public,619,"230,602","148,415","153,129",64.40%,66.40%
2010,Connecticut,16,Total,4075,"1,548,906","258,266","269,737",16.70%,17.40%
2011,Connecticut,16,Priv. Construction,164,"63,794","12,925","12,925",20.30%,20.30%
2011,Connecticut,16,Priv. Manufacturing,464,"175,902","23,603","24,656",13.40%,14.00%
2011,Connecticut,16,Private,3401,"1,312,183","111,765","120,844",8.50%,9.20%
2011,Connecticut,16,Public,601,"227,889","146,901","151,003",64.50%,66.30%
2011,Connecticut,16,Total,4002,"1,540,072","258,666","271,847",16.80%,17.70%
2012,Connecticut,16,Priv. Construction,148,"58,481","6,688","7,094",11.40%,12.10%
2012,Connecticut,16,Priv. Manufacturing,464,"182,082","17,433","20,432",9.60%,11.20%
2012,Connecticut,16,Private,3304,"1,324,946","87,649","99,281",6.60%,7.50%
2012,Connecticut,16,Public,540,"216,061","128,478","132,823",59.50%,61.50%
2012,Connecticut,16,Total,3844,"1,541,007","216,126","232,104",14.00%,15.10%
2013,Connecticut,16,Priv. Construction,165,"68,490","10,654","11,231",15.60%,16.40%
2013,Connecticut,16,Priv. Manufacturing,475,"188,666","18,759","20,861",9.90%,11.10%
2013,Connecticut,16,Private,3228,"1,328,884","90,616","98,040",6.80%,7.40%
